epoch,train_mse,val_mse,val_r2
179,45254181125792.625,22120820086.153847,-19567.777743297687
180,45103268612316.86,22102286670.76923,-19597.785858275212
181,44898002541908.08,25520472536.615383,-22541.744798957057
182,44736489823716.39,25430920192.0,-22494.048591877796
183,44563456610106.98,25932277051.076923,-22937.820593808
184,44397149354117.02,26696834304.0,-23620.762991645028
185,44226549055904.625,27710414020.923077,-24497.531438431703
186,44053750975304.84,26602686700.307693,-23565.68075111381
187,43895390836505.1,29080429607.384617,-25721.48548778404
188,43705879982694.9,29492010259.692307,-26096.33960458022
189,43532080990057.414,30573774178.46154,-27045.688684092696
190,43355503583364.266,31520701636.923077,-27867.16468839337
191,43178129615666.195,32441218993.23077,-28678.50679205534
192,43016467083595.3,33188437149.53846,-29369.640863463766
193,42817978411256.47,33208749764.923077,-29429.20896950708
194,42638137336862.12,34187775172.923077,-30251.58491575639
195,42477458529325.18,34931999665.23077,-30940.577215005927
196,42274236861332.08,35218840891.07692,-31219.15728441537
197,42093078180838.9,36141572647.38461,-32029.523287205793
198,41909389495958.586,36102268100.92308,-31993.903396871036
199,41790329411684.39,37646772932.92308,-33362.064347275125
200,41543480336213.336,41517041545.84615,-36691.859877982664
201,41352613137199.69,43137256369.23077,-38115.56221154404
202,41162075499028.08,43214462503.38461,-38210.011045299514
203,40975168996861.49,43825265152.0,-38767.73922094487
204,40787443517030.9,44238784984.61539,-39180.3242314117
205,40594939028033.26,47621404199.38461,-42086.10004384492
206,40405630365702.9,47536113979.07692,-42083.98593470702
207,40211467202665.414,50587766153.84615,-44700.308784275345
208,40024036592441.73,51375907485.53846,-45452.41566781483
209,39826624852768.625,51889594328.61539,-45878.28745569396
210,39682060237753.73,52111992162.46154,-46179.59557274307
211,39431275785180.86,53550943192.61539,-47390.74973527278
212,39243286896825.73,53566364829.53846,-47478.3030433839
213,39031723904681.84,54597623808.0,-48403.5875712055
214,38848421735584.625,54110556002.46154,-47983.47597686537
215,38726066534560.625,58173774690.46154,-51500.86454355399
216,38451479889538.51,62042216605.53846,-54820.267684390856
217,38246665924618.04,59790754737.23077,-52940.308514932636
218,38041601022721.695,62120641693.53846,-54958.204224835616
219,37925512892210.195,63250449723.07692,-56020.37384374931
220,37646001292418.51,68054517444.92308,-60101.85369060069
221,37430174887687.53,67937104817.23077,-60043.345756123235
222,37236313848366.43,68660065516.30769,-60718.96278844653
223,37023594281110.586,70018895793.23077,-61913.39507695181
224,36823988921872.05,69919370082.46153,-61909.16250958809
225,36619955434224.94,72157504433.23077,-63843.07109666289
226,36414838770733.18,73103651761.23077,-64723.55995411995
227,36214645013232.94,73568977132.3077,-65205.047841341606
228,36004926455135.69,76703693115.07692,-67873.46455581237
229,35803517195776.0,80722125745.23077,-71376.00976467815
230,35610335731380.7,87674168871.38461,-77318.68589380154
231,35396317356370.82,81918038173.53847,-72481.88928252993
232,35190003294927.61,87836909095.38461,-77554.17099470596
233,34969899194287.688,88605590921.84616,-78264.75803836866
234,34765623067512.47,88365821164.3077,-78145.51233365749
235,34558095115093.332,88876696339.6923,-78586.09526698088
236,34371081706255.06,91774461636.92308,-81155.02912793793
237,34141302871593.727,92961678729.84616,-82222.42093148606
238,33939479130056.785,96793665220.92308,-85515.28994216099
239,33718606260113.57,96909382262.15384,-85646.57320488497
240,33517788288296.156,94541642043.07692,-83690.24224909108
241,33308068848710.273,103160124022.15384,-91068.474700906
242,33098163091484.83,104139160891.07692,-91953.71291138396
243,32887913924864.0,105067316775.38461,-92816.47878290393
244,32698876260040.785,102451741932.3077,-90750.39018750058
245,32489187277633.254,110632974178.46153,-97660.27311027507
246,32256497090426.98,110729807714.46153,-97841.14671410619
247,32062953343538.195,111427585417.84616,-98540.51019632214
248,31852732911937.254,121630515987.6923,-107208.05688837967
249,31652798750234.906,123371554185.84616,-108796.78636296032
250,31439254524656.94,125087649634.46153,-110365.81772765213
251,31226060889850.98,126809996051.6923,-111858.03925261217
252,31028277902356.08,125432833575.38461,-110819.11289866822
253,30814980541319.53,126826683155.6923,-112072.92109876902
254,30613130310716.234,128858790990.76923,-113865.77783530769
255,30395999573122.51,130941559099.07692,-115719.03106186408
256,30208281181743.688,128716861282.46153,-113877.04971420745
257,29991699193876.08,129146157528.61539,-114311.88772419233
258,29813822886520.47,135066491510.15384,-119433.67390462373
259,29591497739103.37,141576237686.15384,-124992.28311378504
260,29369536133923.137,137902358843.07693,-121982.446399708
261,29164236050572.55,147264342488.6154,-129986.54196088058
262,28982883655720.156,140222028878.76923,-124152.70096543887
